,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2009,2009,2009,2008,2008,2008,2007,2007,2007,2006,2006,2006,2005,2005,2005,2004,2004,2004,2003,2003,2003,2002,2002,2002,2001,2001,2001,2000,2000,2000
Country,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total,Rural,Urban,Total
Nepal,52.0,80.0,57.0,52.0,80.0,57.0,52.0,80.0,57.0,52.0,80.0,57.0,52.0,80.0,57.0,52.0,80.0,57.0,52.0,80.0,56.0,52.0,80.0,56.0,52.0,80.0,56.0,52.0,80.0,56.0,52.0,80.0,56.0,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,5.0,30.0,9.0,5.0,30.0,9.0,5.0,30.0,9.0,5.0,30.0,9.0,5.0,30.0,9.0,5.0,30.0,9.0,5.0,30.0,9.0,5.0,30.0,9.0,5.0,30.0,9.0,,,,,,
Nigeria,7.0,19.0,13.0,7.0,19.0,13.0,7.0,19.0,13.0,7.0,19.0,13.0,7.0,19.0,13.0,7.0,19.0,13.0,7.0,19.0,13.0,7.0,19.0,12.0,7.0,19.0,12.0,7.0,19.0,12.0,7.0,19.0,12.0,,,,,,,,,,,,,,,
Pakistan,46.0,83.0,60.0,46.0,83.0,60.0,46.0,83.0,60.0,46.0,83.0,60.0,46.0,83.0,60.0,46.0,83.0,60.0,46.0,83.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Moldova,82.0,93.0,87.0,82.0,93.0,87.0,82.0,93.0,87.0,82.0,93.0,87.0,82.0,93.0,87.0,82.0,93.0,87.0,82.0,93.0,87.0,82.0,93.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,2.0,13.0,5.0,2.0,12.0,5.0,2.0,12.0,5.0,2.0,12.0,5.0,2.0,11.0,4.0,2.0,11.0,4.0,2.0,11.0,4.0,1.0,10.0,3.0,1.0,10.0,3.0,1.0,9.0,3.0,1.0,9.0,3.0,1.0,9.0,2.0,1.0,8.0,2.0,0.0,8.0,2.0,0.0,8.0,1.0,0.0,7.0,1.0
Saint Lucia,87.0,88.0,87.0,87.0,88.0,87.0,87.0,88.0,87.0,87.0,88.0,87.0,87.0,88.0,87.0,87.0,88.0,87.0,87.0,88.0,87.0,87.0,88.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,47.0,39.0,42.0,47.0,39.0,42.0,47.0,39.0,42.0,47.0,39.0,42.0,47.0,39.0,42.0,47.0,39.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,10.0,23.0,15.0,10.0,23.0,15.0,10.0,23.0,15.0,10.0,23.0,15.0,10.0,23.0,15.0,10.0,23.0,15.0,10.0,23.0,15.0,10.0,23.0,15.0,10.0,23.0,15.0,10.0,23.0,15.0,10.0,23.0,15.0,,,,,,,,,,,,,,,
Serbia,,,,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,,,,,,,,,,,,,,,,,,
